"","study","Pearson's r","p-value","t-value","df","lower ci","upper ci"
"1","3R-BRAIN","0.999999639599271","0","21331.8723545621","328","0.999999552360144","0.999999709836641"
"2","ABCD","0.999961218164073","0","10704.3477739032","8888","0.99995957159223","0.999962797675437"
"3","abide1","0.999945017166691","0","2252.53026148259","558","0.999935083052232","0.999953431118302"
"4","abide2","0.999936747872654","0","1753.4832885196","389","0.999922821108853","0.999948161647219"
"5","ADHD200","0.999981510377111","0","3636.38102141053","489","0.999977920387833","0.99998451666396"
"6","ADNI","0.999999957922192","0","69457.8684495687","406","0.999999948873484","0.9999999653694"
"7","AIBL","0.999997149660451","0","8973.09192879114","459","0.999996576703259","0.999997626721908"
"8","AOBA","0.999880231738061","0","2003.83819707367","962","0.999864089043096","0.999894457200933"
"9","AOMIC_ID1000","0.999999472862726","0","29588.5591901598","923","0.999999400223604","0.999999536704502"
"10","AOMIC_PIOP1","0.999999543932878","3.60466079364863e-216","8822.66208273349","71","0.999999271373784","0.999999714535101"
"11","AOMIC_PIOP2","0.999999914488919","0","36028.8386418395","222","0.999999888688915","0.999999934308924"
"12","ARWIBO","0.999598441382744","0","1156.06390345936","1074","0.999547405741159","0.999643723145286"
"13","ASRB","0.999998147647567","0","7009.0358723916","182","0.999997521082297","0.999998615843817"
"14","BabyConnectome","0.99999358278453","1.42738401208292e-285","3006.34346392014","116","0.999990750975855","0.999995547569572"
"15","BGSP","0.999997860709105","0","19143.5471880825","1568","0.999997638022912","0.999998062400559"
"16","BHRCS","0.999991360405991","0","4283.16842080174","317","0.999989228888354","0.999993070114641"
"17","BIODEP","0.999998017392909","7.79487861134368e-145","3655.9812826055","53","0.99999658557816","0.999998848786155"
"18","BSNIP","0.999999581434555","0","15262.3175503934","195","0.999999445388639","0.999999684108474"
"19","Calgary","0.999999937947514","6.15268767607272e-285","25704.6868263568","82","0.999999904078696","0.999999959857604"
"20","CALM","0.999996973284722","1.94087306186519e-197","3519.88815163733","75","0.999995226119664","0.999998081015484"
"21","CamCAN","0.999997256555484","0","10842.1615797657","645","0.9999967983035","0.999997649218917"
"22","CAMFT","0.999999443490493","3.35046128154067e-198","7700.52783007715","66","0.999999095039492","0.999999657772016"
"23","CHILD","0.483797664734638","0.00502529967742288","3.02779920764204","30","0.162520462472749","0.71232440989961"
"24","COBRE","0.999999468938801","1.09102601170222e-252","8893.07974145478","84","0.999999183403481","0.999999654632397"
"25","Cornell_C2","0.999994599559943","1.36120228715578e-68","1581.06800497731","27","0.99998835078913","0.999997496422354"
"26","CUBA","0.999998009536515","0","7070.23394949928","199","0.999997370103874","0.999998493497694"
"27","cVEDA","0.999985097080383","0","6321.21190249204","1191","0.999983303664246","0.999986697860237"
"28","devCCNP","0.99999175714073","0","5053.40868711808","421","0.999990019638488","0.999993192158562"
"29","dHCP","0.999285739320909","0","591.892377850365","501","0.999148938772633","0.999400556987209"
"30","DLBS","0.999972788289855","0","2390.44312417834","311","0.999966002705233","0.999978219541507"
"31","EDSD","0.999987065192829","0","2486.91419337146","160","0.999982349042008","0.999990521243594"
